Engine,input_len_category,output_len_tokens,concurrency,latency_p50_mean,latency_p90_mean,latency_p99_mean,n_trials
HuggingFace,long,64,1,1.773,1.773,1.773,6
vLLM,long,64,1,1.22,1.22,1.22,3
HuggingFace,long,64,16,2.521,2.521,2.521,6
vLLM,long,64,16,1.478,1.478,1.478,3
HuggingFace,long,64,64,5.574,5.574,5.574,6
vLLM,long,64,64,1.882,1.882,1.882,3
HuggingFace,long,512,1,13.841,13.841,13.841,6
vLLM,long,512,1,9.571,9.571,9.571,3
HuggingFace,long,512,16,20.515,20.515,20.515,6
vLLM,long,512,16,11.335,11.335,11.335,3
HuggingFace,long,512,64,46.344,46.344,46.344,6
vLLM,long,512,64,14.459,14.459,14.459,3
HuggingFace,short,64,1,1.762,1.762,1.762,6
vLLM,short,64,1,1.192,1.192,1.192,3
HuggingFace,short,64,16,2.032,2.032,2.032,6
vLLM,short,64,16,1.38,1.38,1.38,3
HuggingFace,short,64,64,2.61,2.61,2.61,6
vLLM,short,64,64,1.698,1.698,1.698,3
HuggingFace,short,512,1,1.789,1.789,1.789,6
vLLM,short,512,1,1.244,1.244,1.244,3
HuggingFace,short,512,16,10.614,10.614,10.614,6
vLLM,short,512,16,6.436,6.436,6.436,3
HuggingFace,short,512,64,18.327,18.327,18.327,6
vLLM,short,512,64,7.098,7.098,7.098,3
